
Top 7000 Scenarios (Highest Returns):
Rank  K      BuyDTE  Initial S    Final S  Price Buy  Price Sell    Moneyness    Und. Return  Opt. Return
---------------------------------------------------------------------------------------------------------
1     605       20d  556.22  639.65    0.52   35.71          OTM         15.00%     6752.51%
2     625       30d  556.22  639.65    0.37   21.80          OTM         15.00%     5755.99%
3     605       20d  556.22  634.09    0.52   30.49          OTM         14.00%     5750.87%
4     600       20d  556.22  639.65    0.78   40.51          OTM         15.00%     5104.63%
5     605       20d  556.22  628.53    0.52   25.48          OTM         13.00%     4789.30%
6     625       30d  556.22  634.09    0.37   18.04          OTM         14.00%     4746.62%
7     620       30d  556.22  639.65    0.52   25.38          OTM         15.00%     4744.37%
8     600       20d  556.22  634.09    0.78   35.15          OTM         14.00%     4416.63%
9     640       40d  556.22  639.65    0.36   15.95          OTM         15.00%     4369.72%
10    620       30d  556.22  634.09    0.52   21.31          OTM         14.00%     3966.72%
11    615       30d  556.22  639.65    0.73   29.24          OTM         15.00%     3911.90%
12    605       20d  556.22  622.97    0.52   20.76          OTM         12.00%     3883.90%
13    595       20d  556.22  639.65    1.14   45.39          OTM         15.00%     3882.96%
14    625       30d  556.22  628.53    0.37   14.66          OTM         13.00%     3838.05%
15    635       40d  556.22  639.65    0.48   18.60          OTM         15.00%     3774.78%
16    600       20d  556.22  628.53    0.78   29.94          OTM         13.00%     3747.16%
17    640       40d  556.22  634.09    0.36   13.17          OTM         14.00%     3590.50%
18    595       20d  556.22  634.09    1.14   39.95          OTM         14.00%     3405.31%
19    615       30d  556.22  634.09    0.73   24.87          OTM         14.00%     3313.09%
20    630       40d  556.22  639.65    0.64   21.51          OTM         15.00%     3259.36%
21    620       30d  556.22  628.53    0.52   17.58          OTM         13.00%     3255.55%
22    610       30d  556.22  639.65    1.00   33.32          OTM         15.00%     3228.58%
23    650       50d  556.22  639.65    0.42   14.01          OTM         15.00%     3198.48%
24    635       40d  556.22  634.09    0.48   15.52          OTM         14.00%     3134.65%
25    600       20d  556.22  622.97    0.78   24.95          OTM         12.00%     3105.35%
26    605       20d  556.22  617.40    0.52   16.43          OTM         11.00%     3052.35%
27    625       30d  556.22  622.97    0.37   11.67          OTM         12.00%     3036.34%
28    590       20d  556.22  639.65    1.64   50.32          OTM         15.00%     2976.32%
29    595       20d  556.22  628.53    1.14   34.60          OTM         13.00%     2935.88%
30    640       40d  556.22  628.53    0.36   10.71          OTM         13.00%     2902.86%
31    645       50d  556.22  639.65    0.55   16.20          OTM         15.00%     2841.87%
32    625       40d  556.22  639.65    0.85   24.67          OTM         15.00%     2813.73%
33    665       60d  556.22  639.65    0.37   10.80          OTM         15.00%     2811.68%
34    610       30d  556.22  634.09    1.00   28.71          OTM         14.00%     2767.23%
35    615       30d  556.22  628.53    0.73   20.82          OTM         13.00%     2757.45%
36    630       40d  556.22  634.09    0.64   18.15          OTM         14.00%     2734.27%
37    605       30d  556.22  639.65    1.36   37.62          OTM         15.00%     2668.80%
38    650       50d  556.22  634.09    0.42   11.68          OTM         14.00%     2649.12%
39    590       20d  556.22  634.09    1.64   44.83          OTM         14.00%     2640.23%
40    620       30d  556.22  622.97    0.52   14.24          OTM         12.00%     2617.04%
41    635       40d  556.22  628.53    0.48   12.78          OTM         13.00%     2562.65%
42    660       60d  556.22  639.65    0.47   12.46          OTM         15.00%     2547.49%
43    640       50d  556.22  639.65    0.71   18.61          OTM         15.00%     2523.74%
44    600       20d  556.22  617.40    0.78   20.25          OTM         11.00%     2502.22%
45    595       20d  556.22  622.97    1.14   29.40          OTM         12.00%     2479.51%
46    620       40d  556.22  639.65    1.11   28.09          OTM         15.00%     2429.18%
47    625       40d  556.22  634.09    0.85   21.03          OTM         14.00%     2383.49%
48    645       50d  556.22  634.09    0.55   13.62          OTM         14.00%     2373.23%
49    625       30d  556.22  617.40    0.37    9.10          OTM         11.00%     2344.25%
50    610       30d  556.22  628.53    1.00   24.36          OTM         13.00%     2333.42%
51    665       60d  556.22  634.09    0.37    9.00          OTM         14.00%     2326.88%
52    675       70d  556.22  639.65    0.40    9.77          OTM         15.00%     2325.86%
53    605       30d  556.22  634.09    1.36   32.78          OTM         14.00%     2312.71%
54    605       20d  556.22  611.84    0.52   12.57          OTM         10.00%     2311.78%
55    590       20d  556.22  628.53    1.64   39.38          OTM         13.00%     2307.63%
56    655       60d  556.22  639.65    0.59   14.31          OTM         15.00%     2306.79%
57    640       40d  556.22  622.97    0.36    8.58          OTM         12.00%     2305.59%
58    585       20d  556.22  639.65    2.30   55.29          OTM         15.00%     2301.54%
59    630       40d  556.22  628.53    0.64   15.11          OTM         13.00%     2259.43%
60    615       30d  556.22  622.97    0.73   17.13          OTM         12.00%     2250.41%
61    635       50d  556.22  639.65    0.91   21.25          OTM         15.00%     2240.36%
62    600       30d  556.22  639.65    1.82   42.08          OTM         15.00%     2210.85%
63    650       50d  556.22  628.53    0.42    9.62          OTM         13.00%     2164.24%
64    670       70d  556.22  639.65    0.50   11.19          OTM         15.00%     2136.30%
65    640       50d  556.22  634.09    0.71   15.78          OTM         14.00%     2124.49%
66    660       60d  556.22  634.09    0.47   10.46          OTM         14.00%     2122.75%
67    615       40d  556.22  639.65    1.44   31.73          OTM         15.00%     2097.87%
68    650       60d  556.22  639.65    0.75   16.34          OTM         15.00%     2087.76%
69    620       40d  556.22  634.09    1.11   24.17          OTM         14.00%     2076.87%
70    585       20d  556.22  634.09    2.30   49.76          OTM         14.00%     2061.36%
71    635       40d  556.22  622.97    0.48   10.36          OTM         12.00%     2059.24%
72    620       30d  556.22  617.40    0.52   11.29          OTM         11.00%     2055.34%
73    595       20d  556.22  617.40    1.14   24.42          OTM         11.00%     2042.60%
74    685       80d  556.22  639.65    0.42    8.88          OTM         15.00%     1997.34%
75    625       40d  556.22  628.53    0.85   17.70          OTM         13.00%     1989.95%
76    630       50d  556.22  639.65    1.15   24.12          OTM         15.00%     1988.29%
77    590       20d  556.22  622.97    1.64   34.04          OTM         12.00%     1980.94%
78    605       30d  556.22  628.53    1.36   28.18          OTM         13.00%     1973.90%
79    665       70d  556.22  639.65    0.62   12.76          OTM         15.00%     1961.14%
80    645       50d  556.22  628.53    0.55   11.32          OTM         13.00%     1955.52%
81    600       20d  556.22  611.84    0.78   15.96          OTM         10.00%     1949.86%
82    675       70d  556.22  634.09    0.40    8.20          OTM         14.00%     1936.27%
83    600       30d  556.22  634.09    1.82   37.06          OTM         14.00%     1935.18%
84    655       60d  556.22  634.09    0.59   12.10          OTM         14.00%     1935.13%
85    610       30d  556.22  622.97    1.00   20.34          OTM         12.00%     1931.60%
86    665       60d  556.22  628.53    0.37    7.43          OTM         13.00%     1902.02%
87    635       50d  556.22  634.09    0.91   18.17          OTM         14.00%     1900.60%
88    645       60d  556.22  639.65    0.93   18.57          OTM         15.00%     1888.68%
89    700       90d  556.22  639.65    0.36    7.15          OTM         15.00%     1880.92%
90    680       80d  556.22  639.65    0.52   10.11          OTM         15.00%     1853.65%
91    595       30d  556.22  639.65    2.41   46.69          OTM         15.00%     1836.51%
92    630       40d  556.22  622.97    0.64   12.40          OTM         12.00%     1836.16%
93    585       20d  556.22  628.53    2.30   44.26          OTM         13.00%     1822.59%
94    610       40d  556.22  639.65    1.86   35.59          OTM         15.00%     1812.85%
95    615       40d  556.22  634.09    1.44   27.57          OTM         14.00%     1809.41%
96    660       70d  556.22  639.65    0.76   14.50          OTM         15.00%     1799.45%
97    580       20d  556.22  639.65    3.18   60.26          OTM         15.00%     1797.10%
98    615       30d  556.22  617.40    0.73   13.82          OTM         11.00%     1796.35%
99    640       40d  556.22  617.40    0.36    6.76          OTM         11.00%     1795.54%
100   670       70d  556.22  634.09    0.50    9.45          OTM         14.00%     1788.70%
101   640       50d  556.22  628.53    0.71   13.23          OTM         13.00%     1765.21%
102   625       50d  556.22  639.65    1.46   27.21          OTM         15.00%     1764.38%
103   650       60d  556.22  634.09    0.75   13.92          OTM         14.00%     1762.93%
104   625       30d  556.22  611.84    0.37    6.93          OTM         10.00%     1760.88%
105   695       90d  556.22  639.65    0.44    8.12          OTM         15.00%     1760.70%
106   620       40d  556.22  628.53    1.11   20.56          OTM         13.00%     1751.09%
107   660       60d  556.22  628.53    0.47    8.70          OTM         13.00%     1747.46%
108   650       50d  556.22  622.97    0.42    7.82          OTM         12.00%     1741.70%
109   675       80d  556.22  639.65    0.63   11.48          OTM         15.00%     1719.46%
110   640       60d  556.22  639.65    1.16   21.00          OTM         15.00%     1707.96%
111   630       50d  556.22  634.09    1.15   20.78          OTM         14.00%     1699.42%
112   605       20d  556.22  606.28    0.52    9.26          OTM          9.00%     1676.05%
113   685       80d  556.22  634.09    0.42    7.50          OTM         14.00%     1670.75%
114   600       30d  556.22  628.53    1.82   32.24          OTM         13.00%     1670.15%
115   590       20d  556.22  617.40    1.64   28.85          OTM         11.00%     1663.63%
116   605       30d  556.22  622.97    1.36   23.85          OTM         12.00%     1655.78%
117   665       70d  556.22  634.09    0.62   10.84          OTM         14.00%     1651.34%
118   655       70d  556.22  639.65    0.94   16.41          OTM         15.00%     1650.34%
119   690       90d  556.22  639.65    0.53    9.20          OTM         15.00%     1647.40%
120   625       40d  556.22  622.97    0.85   14.69          OTM         12.00%     1634.82%
121   595       20d  556.22  611.84    1.14   19.75          OTM         10.00%     1632.88%
122   635       40d  556.22  617.40    0.48    8.27          OTM         11.00%     1623.33%
123   580       20d  556.22  634.09    3.18   54.72          OTM         14.00%     1622.51%
124   595       30d  556.22  634.09    2.41   41.52          OTM         14.00%     1622.17%
125   645       60d  556.22  634.09    0.93   15.92          OTM         14.00%     1605.08%
126   655       60d  556.22  628.53    0.59   10.13          OTM         13.00%     1604.09%
127   670       80d  556.22  639.65    0.77   12.98          OTM         15.00%     1594.23%
128   675       70d  556.22  628.53    0.40    6.82          OTM         13.00%     1593.94%
129   635       50d  556.22  628.53    0.91   15.37          OTM         13.00%     1592.01%
130   645       50d  556.22  622.97    0.55    9.29          OTM         12.00%     1587.77%
131   585       20d  556.22  622.97    2.30   38.82          OTM         12.00%     1586.39%
132   610       40d  556.22  634.09    1.86   31.20          OTM         14.00%     1576.55%
133   700       90d  556.22  634.09    0.36    6.04          OTM         14.00%     1572.79%
134   620       30d  556.22  611.84    0.52    8.76          OTM         10.00%     1572.19%
135   605       40d  556.22  639.65    2.38   39.65          OTM         15.00%     1567.94%
136   620       50d  556.22  639.65    1.83   30.51          OTM         15.00%     1565.75%
137   610       30d  556.22  617.40    1.00   16.68          OTM         11.00%     1565.74%
138   680       80d  556.22  634.09    0.52    8.58          OTM         14.00%     1558.20%
139   635       60d  556.22  639.65    1.44   23.63          OTM         15.00%     1544.08%
140   685       90d  556.22  639.65    0.63   10.39          OTM         15.00%     1540.69%
141   615       40d  556.22  628.53    1.44   23.68          OTM         13.00%     1539.94%
142   665       60d  556.22  622.97    0.37    6.06          OTM         12.00%     1533.77%
143   590       30d  556.22  639.65    3.15   51.40          OTM         15.00%     1530.56%
144   660       70d  556.22  634.09    0.76   12.40          OTM         14.00%     1523.62%
145   625       50d  556.22  634.09    1.46   23.63          OTM         14.00%     1518.93%
146   650       70d  556.22  639.65    1.15   18.49          OTM         15.00%     1512.96%
147   700      100d  556.22  639.65    0.53    8.41          OTM         15.00%     1490.05%
148   670       70d  556.22  628.53    0.50    7.91          OTM         13.00%     1481.15%
149   695       90d  556.22  634.09    0.44    6.89          OTM         14.00%     1478.66%
150   665       80d  556.22  639.65    0.93   14.62          OTM         15.00%     1477.47%
151   650       60d  556.22  628.53    0.75   11.74          OTM         13.00%     1471.30%
152   630       40d  556.22  617.40    0.64   10.02          OTM         11.00%     1464.68%
153   640       60d  556.22  634.09    1.16   18.13          OTM         14.00%     1460.57%
