ROLLING REGRESSION ANALYSIS RESULTS
Reference Symbol: SPY
Window Size: 25 days
Analysis Period: 2022-02-08 to 2025-06-27
================================================================================


AAPL COEFFICIENTS
----------------------------------------
Date         Alpha        Beta         Momentum    
----------------------------------------
2022-02-08   0.001546     1.368045     0.089364    
2022-02-09   0.001483     1.315178     0.070594    
2022-02-10   0.001528     1.307726     -0.014756   
2022-02-11   0.002348     1.296058     -0.037045   
2022-02-14   0.002332     1.296815     -0.059660   
2022-02-15   0.002347     1.296095     -0.059621   
2022-02-16   0.002016     1.285420     -0.063996   
2022-02-17   0.002261     1.271610     -0.059113   
2022-02-18   0.002260     1.264819     -0.034787   
2022-02-22   0.001934     1.274276     -0.030679   
2022-02-23   0.001724     1.297763     -0.061467   
2022-02-24   0.001847     1.264525     -0.033977   
2022-02-25   0.001056     1.195372     -0.040627   
2022-02-28   0.000814     1.233899     -0.065700   
2022-03-01   0.001501     1.226537     -0.071767   
2022-03-02   0.001280     1.219637     -0.057122   
2022-03-03   0.001344     1.217449     -0.037381   
2022-03-04   0.000874     1.234839     0.004986    
2022-03-07   -0.000597    0.994767     -0.017097   
2022-03-08   -0.001187    0.962006     0.038111    
2022-03-09   -0.000392    1.022152     0.025328    
2022-03-10   -0.001160    1.034185     -0.094379   
2022-03-11   -0.001773    1.089126     -0.135091   
2022-03-14   -0.002139    1.112570     -0.088960   
2022-03-15   -0.001854    1.141963     -0.092208   
2022-03-16   -0.002064    1.145571     -0.061582   
2022-03-17   -0.002036    1.148971     -0.080138   
2022-03-18   -0.001437    1.164784     -0.053508   
2022-03-21   -0.001200    1.178742     -0.028571   
2022-03-22   -0.001155    1.198535     -0.030481   
2022-03-23   -0.000368    1.128687     0.038644    
2022-03-24   -0.000046    1.143628     0.022305    
2022-03-25   -0.000265    1.156264     0.008787    
2022-03-28   -0.000306    1.150929     0.000009    
2022-03-29   0.000121     1.146478     -0.004480   
2022-03-30   0.000451     1.120910     -0.001981   
2022-03-31   0.000426     1.125982     0.032752    
2022-04-01   0.000628     1.176859     0.024082    
2022-04-04   0.000938     1.198604     0.033154    
2022-04-05   0.000445     1.235030     0.016855    
2022-04-06   0.000262     1.260984     0.012884    
2022-04-07   -0.000094    1.262441     0.013337    
2022-04-08   -0.000093    1.252582     0.030161    
2022-04-11   -0.001060    1.387966     0.008538    
2022-04-12   -0.000291    1.360207     -0.067178   
2022-04-13   -0.000218    1.373473     0.095417    
2022-04-14   0.000086     1.390815     0.033612    
2022-04-18   0.000314     1.361896     -0.021564   
2022-04-19   0.000903     1.276012     -0.008311   
2022-04-20   0.000847     1.272764     -0.013744   
2022-04-21   0.001409     1.197816     0.057077    
2022-04-22   0.001968     1.209577     -0.030857   
2022-04-25   0.001459     1.177974     -0.043022   
2022-04-26   0.001043     1.206410     -0.046426   
2022-04-27   0.000497     1.176306     -0.072309   
2022-04-28   0.000365     1.321161     -0.054050   
2022-04-29   0.000454     1.236364     0.016298    
2022-05-02   0.000306     1.230194     0.050591    
2022-05-03   0.000661     1.243833     0.052964    
2022-05-04   0.000642     1.248233     0.055072    
2022-05-05   0.000347     1.304883     0.010909    
2022-05-06   0.000697     1.304737     -0.055744   
2022-05-09   0.001150     1.283054     -0.072151   
2022-05-10   0.001126     1.274492     -0.112711   
2022-05-11   0.000161     1.316422     -0.123524   
2022-05-12   -0.000748    1.299132     -0.081597   
2022-05-13   -0.000489    1.308416     -0.074878   
2022-05-16   -0.000359    1.309873     -0.085180   
2022-05-17   -0.000315    1.302048     -0.056738   
2022-05-18   -0.001085    1.315712     -0.059419   
2022-05-19   -0.001821    1.313410     0.028720    
2022-05-20   -0.001252    1.305364     0.024247    
2022-05-23   -0.000432    1.340685     0.033440    
2022-05-24   -0.000417    1.357608     0.021436    
2022-05-25   -0.000910    1.344002     0.026724    
2022-05-26   -0.001633    1.356358     0.040604    
2022-05-27   -0.001683    1.404712     0.063687    
2022-05-31   -0.001527    1.402886     0.064013    
2022-06-01   -0.001231    1.407444     0.048318    
2022-06-02   -0.001409    1.392750     0.050071    
2022-06-03   -0.002448    1.386008     -0.020549   
2022-06-06   -0.003003    1.463692     -0.039175   
2022-06-07   -0.002593    1.473390     -0.038330   
2022-06-08   -0.002274    1.453836     -0.027656   
2022-06-09   -0.002194    1.456720     -0.009842   
2022-06-10   -0.001943    1.426577     0.038856    
2022-06-13   -0.002014    1.359929     -0.007545   
2022-06-14   -0.001890    1.405064     -0.013369   
2022-06-15   -0.002407    1.401186     -0.004314   
2022-06-16   -0.001103    1.329859     -0.036860   
2022-06-17   0.000521     1.335631     -0.084170   
2022-06-21   0.000481     1.333069     -0.074820   
2022-06-22   0.000634     1.332018     -0.074563   
2022-06-23   0.001104     1.350115     -0.075648   
2022-06-24   0.000468     1.261022     -0.186679   
2022-06-27   0.001347     1.246360     -0.144027   
2022-06-28   0.001131     1.259489     -0.145209   
2022-06-29   0.000992     1.225121     -0.148974   
2022-06-30   0.001063     1.224381     -0.157797   
2022-07-01   0.001601     1.240598     -0.162914   
2022-07-05   0.002362     1.257371     -0.173765   
2022-07-06   0.002120     1.233394     -0.187108   
2022-07-07   0.002289     1.240554     -0.179662   
2022-07-08   0.002162     1.246624     -0.173261   
2022-07-11   0.002517     1.277469     -0.141155   
2022-07-12   0.003812     1.224631     -0.155445   
2022-07-13   0.003915     1.226715     -0.161708   
2022-07-14   0.004618     1.227101     -0.191330   
2022-07-15   0.003694     1.182621     -0.190008   
2022-07-18   0.003529     1.157949     -0.239386   
2022-07-19   0.003579     1.087904     -0.241623   
2022-07-20   0.003720     1.086366     -0.172094   
2022-07-21   0.003463     1.093358     -0.163392   
2022-07-22   0.003367     1.094002     -0.152551   
2022-07-25   0.003343     1.034351     -0.059253   
2022-07-26   0.002902     1.046033     -0.055099   
2022-07-27   0.002916     1.050056     -0.071043   
2022-07-28   0.002719     1.017187     -0.110853   
2022-07-29   0.002878     1.042352     -0.042889   
2022-08-01   0.002880     1.144133     -0.101247   
2022-08-02   0.002608     1.157681     -0.107089   
2022-08-03   0.003654     1.154645     -0.071331   
2022-08-04   0.002986     1.174298     -0.072991   
2022-08-05   0.003438     1.136411     -0.065639   
2022-08-08   0.003193     1.142046     -0.119681   
2022-08-09   0.002720     1.143002     -0.124709   
2022-08-10   0.002586     1.140135     -0.134049   
2022-08-11   0.002164     1.131693     -0.176383   
2022-08-12   0.002009     1.136454     -0.176629   
2022-08-15   0.002230     1.117572     -0.110060   
2022-08-16   0.001094     1.188288     -0.102617   
2022-08-17   0.001889     1.134545     -0.063870   
2022-08-18   0.000462     1.191398     -0.055140   
2022-08-19   0.000745     1.245649     0.005086    
2022-08-22   0.001443     1.195072     -0.017650   
2022-08-23   0.001583     1.252257     -0.079485   
2022-08-24   0.001290     1.244825     -0.082885   
2022-08-25   0.001126     1.226784     -0.097916   
2022-08-26   0.001165     1.209696     -0.104736   
2022-08-29   0.001281     1.222620     -0.031574   
2022-08-30   0.000960     1.244328     -0.025183   
2022-08-31   0.000841     1.242730     0.058410    
2022-09-01   0.001397     1.290929     0.007779    
2022-09-02   0.000743     1.235320     0.019182    
2022-09-06   0.000703     1.236667     0.028529    
2022-09-07   0.000164     1.165729     0.080344    
2022-09-08   -0.001485    1.033741     0.005109    
2022-09-09   -0.001314    1.051732     0.008154    
2022-09-12   -0.000193    1.129819     0.104521    
2022-09-13   -0.000393    1.203825     0.074547    
2022-09-14   -0.000388    1.211017     0.012964    
2022-09-15   -0.000618    1.214000     0.027270    
2022-09-16   -0.000322    1.210463     0.019989    
2022-09-19   0.000375     1.240927     -0.016198   
2022-09-20   0.001334     1.198478     0.026746    
2022-09-21   0.001531     1.206458     0.018857    
2022-09-22   0.001011     1.210748     -0.000464   
2022-09-23   0.001470     1.213626     -0.008613   
2022-09-26   0.001934     1.203349     -0.043200   
2022-09-27   0.002260     1.207598     -0.059501   
2022-09-28   0.000078     1.044907     -0.039826   
2022-09-29   -0.000574    1.124690     -0.124484   
2022-09-30   -0.000913    1.146669     -0.078576   
2022-10-03   -0.000868    1.164343     -0.132802   
2022-10-04   -0.001159    1.115504     -0.161206   
2022-10-05   -0.000854    1.112791     -0.124544   
2022-10-06   -0.000589    1.104832     -0.125269   
2022-10-07   -0.000824    1.121934     -0.115286   
2022-10-10   -0.000340    1.114137     -0.150464   
2022-10-11   -0.000304    1.115126     -0.151759   
2022-10-12   0.000230     1.148550     -0.120067   
2022-10-13   0.001165     1.182872     -0.126749   
2022-10-14   0.001019     1.200606     -0.188422   
2022-10-17   -0.000295    1.146433     -0.164812   
2022-10-18   -0.000225    1.081738     -0.174573   
2022-10-19   -0.000132    1.070728     -0.152921   
2022-10-20   0.000336     1.056862     -0.157448   
2022-10-21   0.000339     1.061804     -0.131982   
2022-10-24   -0.000269    1.045249     -0.144925   
2022-10-25   -0.001274    1.094111     -0.147339   
2022-10-26   -0.001693    1.105566     -0.167344   
2022-10-27   -0.002826    1.130505     -0.138159   
2022-10-28   -0.001483    1.288769     -0.143652   
2022-10-31   -0.002412    1.322554     -0.139923   
2022-11-01   -0.003323    1.339171     -0.140198   
2022-11-02   -0.001970    1.428386     -0.088166   
2022-11-03   -0.002291    1.414539     -0.009949   
2022-11-04   -0.002799    1.363490     0.013443    
2022-11-07   -0.002955    1.364870     0.058416    
2022-11-08   -0.002457    1.433079     0.034902    
2022-11-09   -0.002827    1.440327     0.034651    
2022-11-10   -0.003008    1.519001     0.031057    
2022-11-11   -0.003201    1.558716     0.106094    
2022-11-14   -0.003674    1.572840     0.112080    
2022-11-15   -0.003748    1.578457     0.114696    
2022-11-16   -0.003595    1.571518     0.113225    
2022-11-17   -0.002560    1.567572     0.092831    
2022-11-18   -0.002923    1.590919     0.066740    
2022-11-21   -0.003229    1.634811     0.101232    
2022-11-22   -0.003139    1.637017     0.085214    
2022-11-23   -0.003899    1.662407     0.088120    
2022-11-25   -0.005255    1.701263     0.055330    
2022-11-28   -0.004689    1.714792     0.085855    
2022-11-29   -0.005197    1.725031     0.149683    
2022-11-30   -0.005117    1.727380     0.176215    
2022-12-01   -0.004704    1.720755     0.142319    
2022-12-02   -0.003827    1.697902     0.166365    
2022-12-05   -0.004012    1.493173     0.173230    
2022-12-06   -0.003984    1.492353     0.164607    
2022-12-07   -0.003989    1.489545     0.184287    
2022-12-08   -0.004013    1.511334     0.088740    
2022-12-09   -0.002426    1.440934     0.050119    
2022-12-12   -0.001726    1.480927     0.086166    
2022-12-13   -0.001513    1.488960     0.080968    
2022-12-14   -0.001617    1.496685     0.076220    
2022-12-15   -0.002009    1.532997     0.109161    
2022-12-16   -0.001872    1.400087     0.056262    
2022-12-19   -0.002299    1.379825     0.070198    
2022-12-20   -0.002472    1.388939     0.074150    
2022-12-21   -0.002334    1.406093     0.066849    
2022-12-22   -0.002565    1.418964     0.082082    
2022-12-23   -0.003698    1.413676     0.117624    
2022-12-27   -0.003927    1.414999     0.124302    
2022-12-28   -0.003758    1.435126     0.130415    
2022-12-29   -0.003425    1.467570     0.131304    
2022-12-30   -0.003042    1.465869     0.179925    
2023-01-03   -0.003492    1.488560     0.198159    
2023-01-04   -0.003422    1.497001     0.132882    
2023-01-05   -0.002450    1.472122     0.145709    
2023-01-06   -0.002418    1.468795     0.144775    
2023-01-09   -0.002338    1.469827     0.154727    
2023-01-10   -0.002518    1.461343     0.161573    
2023-01-11   -0.003105    1.587563     0.164325    
2023-01-12   -0.003254    1.586335     0.092757    
2023-01-13   -0.002651    1.588207     0.096749    
2023-01-17   -0.002170    1.573954     0.091093    
2023-01-18   -0.001732    1.496336     0.066932    
2023-01-19   -0.001080    1.487316     0.029988    
2023-01-20   -0.001257    1.455731     0.062810    
2023-01-23   -0.000772    1.469638     0.066465    
2023-01-24   0.000264     1.368492     0.185204    
2023-01-25   -0.000352    1.422176     0.190030    
2023-01-26   -0.000188    1.405840     0.183941    
2023-01-27   0.000330     1.403788     0.214668    
2023-01-30   0.000115     1.407106     0.252615    
2023-01-31   0.000014     1.327731     0.239125    
2023-02-01   0.000203     1.321170     0.208233    
2023-02-02   0.001090     1.364733     0.247856    
2023-02-03   0.004259     1.072792     0.441159    
2023-02-06   0.003374     1.100182     0.485176    
2023-02-07   0.003318     1.109846     0.436845    
2023-02-08   0.004585     1.058916     0.387580    
2023-02-09   0.004560     1.072363     0.367007    
2023-02-10   0.004473     1.058015     0.427163    
2023-02-13   0.004384     0.999246     0.486886    
2023-02-14   0.004021     1.009773     0.441217    
2023-02-15   0.004510     1.025580     0.423508    
2023-02-16   0.004353     1.014313     0.479754    
2023-02-17   0.004300     1.036857     0.463370    
2023-02-21   0.003813     1.107176     0.449819    
2023-02-22   0.003559     1.111459     0.362883    
2023-02-23   0.002920     1.156945     0.449849    
2023-02-24   0.002292     1.211642     0.433566    
2023-02-27   0.002580     1.256889     0.390802    
2023-02-28   0.002286     1.227974     0.353392    
2023-03-01   0.001458     1.247313     0.365764    
2023-03-02   0.001438     1.225164     0.371052    
2023-03-03   0.001990     1.313194     0.382574    
2023-03-06   0.002265     1.309888     0.460046    
2023-03-07   0.002629     1.260573     0.441277    
2023-03-08   0.003320     1.343827     0.429868    
2023-03-09   0.003980     1.347473     0.378052    
2023-03-10   0.003205     1.242584     0.086275    
2023-03-13   0.002649     1.368691     -0.059603   
2023-03-14   0.002523     1.271014     -0.043098   
2023-03-15   0.002812     1.258434     0.048372    
2023-03-16   0.002739     1.191235     0.078443    
2023-03-17   0.003041     1.142534     0.147474    
2023-03-20   0.003304     1.153801     0.108908    
2023-03-21   0.002916     1.114397     0.111867    
2023-03-22   0.003404     1.084310     0.145678    
2023-03-23   0.003132     1.073873     0.106483    
2023-03-24   0.003006     1.074314     0.092286    
2023-03-27   0.002605     1.054484     0.054214    
2023-03-28   0.002748     0.997787     0.081789    
2023-03-29   0.002781     1.010299     0.079050    
2023-03-30   0.003019     1.020612     0.108198    
2023-03-31   0.003419     0.972385     0.126334    
2023-04-03   0.003383     0.971812     0.136723    
2023-04-04   0.003466     0.969310     0.126262    
2023-04-05   0.003549     0.961307     0.136719    
2023-04-06   0.003736     0.974816     0.089949    
2023-04-10   0.002340     0.886508     -0.039681   
2023-04-11   0.001315     0.886434     -0.042358   
2023-04-12   0.001332     0.876116     -0.005837   
2023-04-13   0.001805     0.966455     -0.028878   
2023-04-14   0.001668     0.980145     -0.025203   
2023-04-17   0.001561     0.966001     0.069118    
2023-04-18   0.001188     0.988376     0.085668    
2023-04-19   0.001519     1.007344     0.030285    
2023-04-20   0.001048     1.051018     0.044961    
2023-04-21   0.000590     1.065477     -0.027449   
2023-04-24   -0.000166    1.217074     0.031850    
2023-04-25   0.000256     1.077886     0.052303    
2023-04-26   0.000520     1.085313     -0.094886   
2023-04-27   -0.000010    1.290364     -0.094831   
2023-04-28   -0.000250    1.273974     -0.113875   
2023-05-01   -0.000212    1.271224     -0.042287   
2023-05-02   0.000795     1.207382     -0.037219   
2023-05-03   0.000931     1.197762     -0.042221   
2023-05-04   0.000781     1.196684     -0.068136   
2023-05-05   0.001430     1.417221     -0.190108   
2023-05-08   0.001556     1.466200     -0.203180   
2023-05-09   0.001329     1.478903     -0.217712   
2023-05-10   0.001261     1.498208     -0.255439   
2023-05-11   0.001715     1.478168     -0.242600   
2023-05-12   0.001528     1.489184     -0.195920   
2023-05-15   0.001916     1.478871     -0.183939   
2023-05-16   0.002635     1.447267     -0.161704   
2023-05-17   0.002095     1.337685     -0.068003   
2023-05-18   0.001551     1.226784     -0.065482   
2023-05-19   0.001613     1.224520     -0.054452   
2023-05-22   0.001539     1.235779     -0.064570   
2023-05-23   0.001219     1.251818     -0.068623   
2023-05-24   0.001352     1.215544     -0.127392   
2023-05-25   0.001174     1.191076     -0.141320   
2023-05-26   0.001563     1.176465     -0.140314   
2023-05-30   0.001944     1.175162     -0.070277   
2023-05-31   0.001759     1.229308     -0.040686   
2023-06-01   0.001687     1.250921     -0.047196   
2023-06-02   0.001222     1.118087     -0.082354   
2023-06-05   0.001055     1.144973     -0.128797   
2023-06-06   0.000852     1.140986     -0.118853   
2023-06-07   0.000332     1.206829     -0.126355   
2023-06-08   0.000520     1.237796     -0.154206   
2023-06-09   0.000591     1.226176     -0.043880   
2023-06-12   0.000445     0.920957     0.000135    
2023-06-13   0.000206     0.884759     -0.056171   
2023-06-14   0.000653     0.842657     -0.012694   
2023-06-15   0.000449     0.834350     -0.020144   
2023-06-16   0.000323     0.844439     -0.025838   
2023-06-20   0.000852     0.800937     -0.048250   
2023-06-21   0.000975     0.820296     -0.058289   
2023-06-22   0.001185     0.863431     -0.146557   
2023-06-23   0.001587     0.901744     -0.202598   
2023-06-26   0.001234     0.902159     -0.199543   
2023-06-27   0.001313     0.930850     -0.224313   
2023-06-28   0.001799     0.920242     -0.156789   
2023-06-29   0.002110     0.836705     -0.092109   
2023-06-30   0.001919     0.970618     -0.079987   
2023-07-03   0.001535     1.005160     -0.170329   
2023-07-05   0.001261     1.031206     -0.318560   
2023-07-06   0.001404     0.961340     -0.326017   
2023-07-07   0.000974     1.007105     -0.269089   
2023-07-10   0.000269     0.953354     -0.170548   
2023-07-11   0.000159     1.037795     -0.150109   
2023-07-12   0.000443     1.017793     -0.145421   
2023-07-13   0.000507     0.990847     -0.153656   
2023-07-14   0.000804     0.958902     -0.096146   
2023-07-17   0.001010     0.941119     -0.106906   
2023-07-18   0.000773     0.888918     -0.134951   
2023-07-19   0.000778     0.836410     -0.010992   
2023-07-20   0.000785     0.932302     -0.057542   
2023-07-21   0.000429     0.942663     -0.014158   
2023-07-24   0.000437     0.953419     -0.032418   
2023-07-25   0.000465     0.961349     0.023613    
2023-07-26   0.000355     1.001679     0.024480    
