
Top 27000 Scenarios (Highest Returns):
Rank  Strike   DTE            S0      S_fin    IVbuy   IVsell    Price Buy   Price Sell     Return
--------------------------------------------------------------------------------------------------
1     599      21      556.220  611.842    0.200    0.220    0.813   12.842   1480.49%
2     599      21      556.220  611.842    0.200    0.270    0.813   12.842   1480.49%
3     599      21      556.220  611.842    0.200    0.230    0.813   12.842   1480.49%
4     599      21      556.220  611.842    0.200    0.250    0.813   12.842   1480.49%
5     599      21      556.220  611.842    0.200    0.240    0.813   12.842   1480.49%
6     599      21      556.220  611.842    0.200    0.280    0.813   12.842   1480.49%
7     599      21      556.220  611.842    0.200    0.210    0.813   12.842   1480.49%
8     599      21      556.220  611.842    0.200    0.260    0.813   12.842   1480.49%
9     599      21      556.220  611.842    0.200    0.290    0.813   12.842   1480.49%
10    599      21      556.220  611.842    0.200    0.300    0.813   12.842   1480.49%
11    599      21      556.220  611.842    0.200    0.200    0.813   12.842   1480.49%
12    600      21      556.220  611.842    0.200    0.300    0.751   11.842   1477.02%
13    600      21      556.220  611.842    0.200    0.230    0.751   11.842   1477.02%
14    600      21      556.220  611.842    0.200    0.280    0.751   11.842   1477.02%
15    600      21      556.220  611.842    0.200    0.240    0.751   11.842   1477.02%
16    600      21      556.220  611.842    0.200    0.250    0.751   11.842   1477.02%
17    600      21      556.220  611.842    0.200    0.220    0.751   11.842   1477.02%
18    600      21      556.220  611.842    0.200    0.290    0.751   11.842   1477.02%
19    600      21      556.220  611.842    0.200    0.200    0.751   11.842   1477.02%
20    600      21      556.220  611.842    0.200    0.270    0.751   11.842   1477.02%
21    600      21      556.220  611.842    0.200    0.210    0.751   11.842   1477.02%
22    600      21      556.220  611.842    0.200    0.260    0.751   11.842   1477.02%
23    598      21      556.220  611.842    0.200    0.220    0.878   13.842   1475.64%
24    598      21      556.220  611.842    0.200    0.230    0.878   13.842   1475.64%
25    598      21      556.220  611.842    0.200    0.250    0.878   13.842   1475.64%
26    598      21      556.220  611.842    0.200    0.210    0.878   13.842   1475.64%
27    598      21      556.220  611.842    0.200    0.280    0.878   13.842   1475.64%
28    598      21      556.220  611.842    0.200    0.240    0.878   13.842   1475.64%
29    598      21      556.220  611.842    0.200    0.290    0.878   13.842   1475.64%
30    598      21      556.220  611.842    0.200    0.270    0.878   13.842   1475.64%
31    598      21      556.220  611.842    0.200    0.260    0.878   13.842   1475.64%
32    598      21      556.220  611.842    0.200    0.200    0.878   13.842   1475.64%
33    598      21      556.220  611.842    0.200    0.300    0.878   13.842   1475.64%
34    597      21      556.220  611.842    0.200    0.220    0.949   14.842   1463.88%
35    597      21      556.220  611.842    0.200    0.200    0.949   14.842   1463.88%
36    597      21      556.220  611.842    0.200    0.210    0.949   14.842   1463.88%
37    597      21      556.220  611.842    0.200    0.280    0.949   14.842   1463.88%
38    597      21      556.220  611.842    0.200    0.240    0.949   14.842   1463.88%
39    597      21      556.220  611.842    0.200    0.260    0.949   14.842   1463.88%
40    597      21      556.220  611.842    0.200    0.230    0.949   14.842   1463.88%
41    597      21      556.220  611.842    0.200    0.250    0.949   14.842   1463.88%
42    597      21      556.220  611.842    0.200    0.290    0.949   14.842   1463.88%
43    597      21      556.220  611.842    0.200    0.270    0.949   14.842   1463.88%
44    597      21      556.220  611.842    0.200    0.300    0.949   14.842   1463.88%
45    601      21      556.220  611.842    0.200    0.210    0.693   10.842   1463.60%
46    601      21      556.220  611.842    0.200    0.220    0.693   10.842   1463.60%
47    601      21      556.220  611.842    0.200    0.250    0.693   10.842   1463.60%
48    601      21      556.220  611.842    0.200    0.230    0.693   10.842   1463.60%
49    601      21      556.220  611.842    0.200    0.300    0.693   10.842   1463.60%
50    601      21      556.220  611.842    0.200    0.260    0.693   10.842   1463.60%
51    601      21      556.220  611.842    0.200    0.280    0.693   10.842   1463.60%
52    601      21      556.220  611.842    0.200    0.200    0.693   10.842   1463.60%
53    601      21      556.220  611.842    0.200    0.270    0.693   10.842   1463.60%
54    601      21      556.220  611.842    0.200    0.290    0.693   10.842   1463.60%
