feature,coef,window,source
rv_1d,-0.0014389020546018859,1,ridge
rv_5d,0.0007926311288991102,1,ridge
rv_22d,0.0049867652285913505,1,ridge
volume_z,-0.00023320633119386014,1,ridge
log_range,0.005384886334220566,1,ridge
overnight_gap,2.1443141522173366e-05,1,ridge
month_end,-2.7882203629890603e-06,1,ridge
rv_1d,-0.0014741585416949495,2,ridge
rv_5d,0.0008332619343630333,2,ridge
rv_22d,0.00413377332349745,2,ridge
volume_z,-6.82034687332249e-05,2,ridge
log_range,0.005153858503863274,2,ridge
overnight_gap,0.0001370023226524635,2,ridge
month_end,-7.356434259097463e-05,2,ridge
rv_1d,-0.00128176012189901,3,ridge
rv_5d,0.0010639845082295175,3,ridge
rv_22d,0.004558804755003517,3,ridge
volume_z,0.0002080400852655154,3,ridge
log_range,0.004951929551927458,3,ridge
overnight_gap,3.336640233753676e-05,3,ridge
month_end,-0.0002186910540922506,3,ridge
rv_1d,-0.0012644476887195353,4,ridge
rv_5d,0.0013785053953968293,4,ridge
rv_22d,0.0045892140728385055,4,ridge
volume_z,0.0003190190316037183,4,ridge
log_range,0.00505948043342486,4,ridge
overnight_gap,-2.9382913310900758e-05,4,ridge
month_end,-4.1061235193310234e-05,4,ridge
rv_1d,-0.0012287019077185687,5,ridge
rv_5d,0.0013314140575913483,5,ridge
rv_22d,0.0043220627398831745,5,ridge
volume_z,0.00041912410633213574,5,ridge
log_range,0.005083985599879968,5,ridge
overnight_gap,1.7960453664013819e-06,5,ridge
month_end,0.00021154653377812436,5,ridge
rv_1d,-0.0012326400038633093,6,ridge
rv_5d,0.0011522687738817709,6,ridge
rv_22d,0.004402995832503571,6,ridge
volume_z,0.0004666052997877224,6,ridge
log_range,0.004997091345238373,6,ridge
overnight_gap,1.3643401676354517e-06,6,ridge
month_end,0.0003280842850323591,6,ridge
rv_1d,-0.001177390713309237,7,ridge
rv_5d,0.0010842355468912927,7,ridge
rv_22d,0.004492958018475101,7,ridge
volume_z,0.00037361204548153434,7,ridge
log_range,0.004718470192968245,7,ridge
overnight_gap,-2.6662044532058213e-05,7,ridge
month_end,0.0006257196331300555,7,ridge
rv_1d,-0.0011160284236380097,8,ridge
rv_5d,0.0010320824629770655,8,ridge
rv_22d,0.004458249328947837,8,ridge
volume_z,0.0004667161737506431,8,ridge
log_range,0.0049139150776593985,8,ridge
overnight_gap,-0.00011474290538249576,8,ridge
month_end,0.0007653732417309735,8,ridge
rv_1d,-0.001706313080172622,9,ridge
rv_5d,0.0008636764638441517,9,ridge
rv_22d,0.004692834804429208,9,ridge
volume_z,0.00045566968429129433,9,ridge
log_range,0.0055972237735334015,9,ridge
overnight_gap,-0.00015073415611964892,9,ridge
month_end,0.0008104399867319003,9,ridge
rv_1d,-0.0018873590661532891,10,ridge
rv_5d,0.0007108922888725459,10,ridge
rv_22d,0.004616143413960713,10,ridge
volume_z,0.0006103049048420383,10,ridge
log_range,0.005428337492497856,10,ridge
overnight_gap,-0.0003487850439851794,10,ridge
month_end,0.0008184256208484667,10,ridge
rv_1d,-0.0017887822694785123,11,ridge
rv_5d,0.000942926914965869,11,ridge
rv_22d,0.004704428995867672,11,ridge
volume_z,0.000469230308065111,11,ridge
log_range,0.005249753595585039,11,ridge
overnight_gap,-0.00037978028443920106,11,ridge
month_end,0.0008240140352619699,11,ridge
rv_1d,-0.0005529040760066416,12,ridge
rv_5d,0.007758002504944843,12,ridge
rv_22d,0.007171957904762075,12,ridge
volume_z,0.00030581703937197823,12,ridge
log_range,0.009669841270650764,12,ridge
overnight_gap,-0.002401934505268219,12,ridge
month_end,0.00012778039392797694,12,ridge
rv_1d,-0.0007206171086808817,13,ridge
rv_5d,0.007826529513183638,13,ridge
rv_22d,0.007046855751966002,13,ridge
volume_z,0.000324352781826824,13,ridge
log_range,0.009842521104432154,13,ridge
overnight_gap,-0.0023055802066563567,13,ridge
month_end,0.00014287567441755567,13,ridge
rv_1d,-0.00083196150022836,14,ridge
rv_5d,0.008146336945083836,14,ridge
rv_22d,0.0069879979230446435,14,ridge
volume_z,0.00034185736852068466,14,ridge
log_range,0.009909391599982926,14,ridge
overnight_gap,-0.002327459331618049,14,ridge
month_end,-0.00012370763878633294,14,ridge
rv_1d,-0.0007550209896618758,15,ridge
rv_5d,0.008286800471919353,15,ridge
rv_22d,0.006848222603536184,15,ridge
volume_z,0.0002919066287402937,15,ridge
log_range,0.009820400315245425,15,ridge
overnight_gap,-0.0023316391112472245,15,ridge
month_end,0.00022405380039585598,15,ridge
rv_1d,-0.0008663492656780138,16,ridge
rv_5d,0.008531434206994006,16,ridge
rv_22d,0.007013187654145587,16,ridge
volume_z,0.000203637103232325,16,ridge
log_range,0.009756890911604432,16,ridge
overnight_gap,-0.002212558888768875,16,ridge
month_end,0.00010542186562954557,16,ridge
rv_1d,-0.0008921980019724344,17,ridge
rv_5d,0.00821622677601566,17,ridge
rv_22d,0.007140069298934892,17,ridge
volume_z,0.00036968573325817696,17,ridge
log_range,0.009471661410214521,17,ridge
overnight_gap,-0.0021626019726701962,17,ridge
month_end,0.00019741942530912708,17,ridge
rv_1d,-0.001964379452102288,18,ridge
rv_5d,0.0022915746275034704,18,ridge
rv_22d,0.006534148350976329,18,ridge
volume_z,0.0005198123575457687,18,ridge
log_range,0.005950758225876379,18,ridge
overnight_gap,-0.00029142577533406463,18,ridge
month_end,0.0007195600010875188,18,ridge
rv_1d,-0.0020356407314716927,19,ridge
rv_5d,0.0015916401718162833,19,ridge
rv_22d,0.006708604456338887,19,ridge
volume_z,0.0006163389647536813,19,ridge
log_range,0.005787486808729259,19,ridge
overnight_gap,-0.0003431909619855622,19,ridge
month_end,0.000526788873721553,19,ridge
rv_1d,-0.002027006772940474,20,ridge
rv_5d,0.0015203349831873676,20,ridge
rv_22d,0.006381184633770621,20,ridge
volume_z,0.0005496826566358112,20,ridge
log_range,0.0058397462675932425,20,ridge
overnight_gap,-0.00020764719291722873,20,ridge
month_end,0.0007879336606800779,20,ridge
rv_1d,-0.0019162594282341179,21,ridge
rv_5d,0.0015058990970040153,21,ridge
rv_22d,0.0060747158854392086,21,ridge
volume_z,0.00048358347776491676,21,ridge
log_range,0.005741850224635555,21,ridge
overnight_gap,-9.879331583060726e-05,21,ridge
month_end,0.0005149665222979112,21,ridge
rv_1d,-0.0019935349725363795,22,ridge
rv_5d,0.0007924712694984295,22,ridge
rv_22d,0.005527564560194012,22,ridge
volume_z,0.0005765963807527056,22,ridge
log_range,0.0064651169971171,22,ridge
overnight_gap,-0.0006089191284343021,22,ridge
month_end,0.0005095060202533055,22,ridge
rv_1d,0.007337507840182218,1,rf
rv_5d,0.01567742732237395,1,rf
rv_22d,0.7001138257816386,1,rf
volume_z,0.014960558370598023,1,rf
log_range,0.25742946956683865,1,rf
overnight_gap,0.004379635454617614,1,rf
month_end,0.00010157566375094924,1,rf
rv_1d,0.010906261409549508,2,rf
rv_5d,0.02093422788870911,2,rf
rv_22d,0.6177229368642437,2,rf
volume_z,0.02293319146967347,2,rf
log_range,0.32382831240281784,2,rf
overnight_gap,0.0036234248911280954,2,rf
month_end,5.164507387816599e-05,2,rf
rv_1d,0.007825241150162473,3,rf
rv_5d,0.014749041242921467,3,rf
rv_22d,0.6279107288563185,3,rf
volume_z,0.019503095501655677,3,rf
log_range,0.32608203935810515,3,rf
overnight_gap,0.003823921800692268,3,rf
month_end,0.00010593209014454805,3,rf
rv_1d,0.00827498115720288,4,rf
