model,rmse,mae,qlike,n,ticker
baseline,0.018851085769918282,0.013763384358951426,-5.5124196862803005,2772,A
har,0.017416491101639016,0.012295483079766108,-5.559303788019242,2772,A
ridge,0.017186013231025265,0.012030106166966264,-5.567758847412333,2772,A
rf,0.017177448708275214,0.012027132445606272,-5.569327547168824,2772,A
baseline,0.02037775205484319,0.014639192800750107,-5.4436144872505725,2772,AAPL
har,0.018858867397837372,0.012988565143412692,-5.513269603999844,2772,AAPL
ridge,0.018395441867645575,0.012500226890161269,-5.528764477808854,2772,AAPL
rf,0.018580991910625042,0.012648664585022156,-5.536450468240157,2772,AAPL
baseline,0.01770995356219042,0.012311274896508325,-5.733168398297618,2772,ABT
har,0.016364984769761906,0.011346971777736628,-5.8688507601787006,2772,ABT
ridge,0.015987363394106748,0.011130985559688458,-5.873185291627153,2772,ABT
rf,0.016084767329488058,0.0110904431217471,-5.872813548022755,2772,ABT
baseline,0.018740792591361893,0.013759855586696564,-5.665574016598343,2772,ACN
har,0.01758301472877396,0.01282465772647555,-5.78819164842017,2772,ACN
ridge,0.01698364664829884,0.0121756917350177,-5.813633191716767,2772,ACN
rf,0.0170030165438788,0.012130064450313309,-5.819141193509167,2772,ACN
baseline,0.027505335998320193,0.019006929654032077,-5.067310780396341,2772,ADBE
har,0.024631919819268766,0.01594789194135911,-5.131394860592518,2772,ADBE
ridge,0.02431557718146144,0.015545283183321199,-5.157241973174463,2772,ADBE
rf,0.024355646623377903,0.015486522862676376,-5.161988632832252,2772,ADBE
baseline,0.02380752183123944,0.01615772619933477,-5.230598497068465,2772,ADI
har,0.021652981343151956,0.014032514018088058,-5.240529136454355,2772,ADI
ridge,0.021335870115032594,0.013873859871849567,-5.25078391527619,2772,ADI
rf,0.021690671288183864,0.01407002146500717,-5.252734201369616,2772,ADI
baseline,0.022925626535053204,0.014599724110976537,-5.477386497672642,2772,ADM
har,0.02057628360906398,0.01299451542599448,-5.546773897505523,2772,ADM
ridge,0.020247979073802193,0.012753909290396763,-5.550474011939219,2772,ADM
rf,0.020038625666464593,0.012576950561458434,-5.539610530960998,2772,ADM
baseline,0.018556046587079895,0.012272362476315614,-5.797926757752347,2772,ADP
har,0.017221247302268306,0.011595759173680385,-5.964414421574471,2772,ADP
ridge,0.016718428428469084,0.011218641552008897,-5.992986919519575,2772,ADP
rf,0.0169358215946263,0.011214437747965517,-5.987456438420842,2772,ADP
baseline,0.027544311588053663,0.019143831219607915,-4.795729858499019,2772,ADSK
har,0.025439243527181694,0.016394159043953863,-4.809729207958674,2772,ADSK
ridge,0.024752310022352973,0.015880438927512716,-4.863224719081903,2772,ADSK
rf,0.024957726219235307,0.01601347824498268,-4.862428771139194,2772,ADSK
baseline,0.015837921555896375,0.009654225626714748,-6.175667571025286,2772,AEE
har,0.014938963884417868,0.009668602404188284,-6.2327037503770475,2772,AEE
ridge,0.01475489207738541,0.009587146162925083,-6.249313049298014,2772,AEE
rf,0.015012866272112478,0.009466553796866815,-6.244876005562246,2772,AEE
baseline,0.013653751534019539,0.009289353052996592,-6.210228004813528,2772,AEP
har,0.01329160666848737,0.009463768031123409,-6.254235170081706,2772,AEP
ridge,0.01269559034125455,0.009280048497644848,-6.276144048928926,2772,AEP
rf,0.01306507140630974,0.009220200846917959,-6.270704230250023,2772,AEP
baseline,0.021178344417232233,0.012572407361076846,-5.87490688430342,2772,AFL
har,0.019346895792224785,0.012122836590827043,-6.055022799522139,2772,AFL
ridge,0.019021319647180415,0.011639916841312863,-6.068690291893983,2772,AFL
rf,0.019747777414306684,0.011421483023818475,-6.061309339907674,2772,AFL
baseline,0.02472994714505523,0.0155971702220595,-5.438169721056875,2772,AIG
har,0.023077383409348486,0.014008303768894375,-5.5334039283958205,2772,AIG
ridge,0.022655865041597854,0.013677454212950803,-5.537879456498995,2772,AIG
rf,0.024216646650605727,0.013912125185345913,-5.517380236567529,2772,AIG
baseline,0.033642317366662726,0.022421937413158118,-4.689688154548427,2772,AKAM
har,0.02930215187110522,0.017889707447933258,-4.8413633781895165,2772,AKAM
ridge,0.028502926590547244,0.017106600945112096,-4.898971259725015,2772,AKAM
rf,0.02811877882422253,0.016517914598570535,-4.904681565524319,2772,AKAM
baseline,0.047716351480004,0.028774115197960196,-3.933227648058887,2772,ALGN
har,0.04223375560894215,0.022975042276745655,-3.7308316469699445,2772,ALGN
ridge,0.04073579255214159,0.022113743434608243,-3.9612162460170035,2772,ALGN
rf,0.04087889159205673,0.022019485525665627,-4.000791547536213,2772,ALGN
baseline,0.01850606223377658,0.012635371395801044,-5.805973215051915,2772,ALL
har,0.017360211602386807,0.011860041978899992,-5.92387325423335,2772,ALL
ridge,0.017198947051828065,0.011597342281374861,-5.9318484940147425,2772,ALL
rf,0.01731271177991924,0.011585251298123156,-5.907701819807833,2772,ALL
baseline,0.04693898390534153,0.032375548713796984,-3.83384320231499,2772,AMD
har,0.044445304155922204,0.028495720867138367,-3.3358530569440945,2772,AMD
ridge,0.0431061041529049,0.027553228471768998,-3.4912212370905213,2772,AMD
rf,0.0432129944845926,0.027625005077171295,-3.54750285443635,2772,AMD
baseline,0.018859880648173358,0.013775521173232571,-5.583642451335601,2772,AMGN
har,0.01752548086981447,0.012503002131229327,-5.691028740760328,2772,AMGN
ridge,0.017215330227874515,0.01233080775787719,-5.720089362761343,2772,AMGN
rf,0.017184946550469482,0.012278995689898684,-5.715743053525398,2772,AMGN
baseline,0.024408639639274473,0.01767368452862109,-5.095320044341526,2772,AMZN
har,0.022241322723233942,0.014990234815863583,-5.157802659756783,2772,AMZN
ridge,0.021578870858531652,0.014369663673676206,-5.192870896473312,2772,AMZN
rf,0.021880086540145127,0.01450594367998257,-5.192339339354437,2772,AMZN
baseline,0.021951313258369274,0.014606215053195103,-5.578383690424534,2772,APD
har,0.019783757094933515,0.013074716254524221,-5.759090887902637,2772,APD
ridge,0.019412108259697976,0.012617787775144287,-5.766623599423344,2772,APD
rf,0.019435303327513982,0.012458167658369787,-5.765311833837472,2772,APD
baseline,0.031441422280420336,0.020784197745391607,-4.800338040988597,2772,AVGO
har,0.028410304068717782,0.017443933735868725,-4.7153575254468345,2772,AVGO
ridge,0.027642048893973738,0.016939072119495482,-4.750464625965191,2772,AVGO
rf,0.02820931558337078,0.017167864827685172,-4.763157276059054,2772,AVGO
baseline,0.02480636749215246,0.01613046932396649,-5.487896619340755,2772,AXP
har,0.02272787607524471,0.014071017531879115,-5.537784737592181,2772,AXP
ridge,0.02220357643730327,0.013577133590145384,-5.554232811359373,2772,AXP
rf,0.02331045004968931,0.013853906479295562,-5.527778658089185,2772,AXP
baseline,0.020450908157251566,0.013278539251411677,-5.640283252636761,2772,AZO
har,0.01836080013364449,0.01166439471338963,-5.718481434579321,2772,AZO
ridge,0.018121038023586705,0.011695581321578156,-5.750545761030668,2772,AZO
rf,0.018458342391586804,0.011625966208775594,-5.736691812095456,2772,AZO
baseline,0.030236755907352968,0.018735818876109533,-5.0654419241592805,2772,BA
har,0.028622239517927566,0.016635686468217895,-5.036201903685307,2772,BA
ridge,0.028167668392435875,0.016441295220816467,-5.0444487122012704,2772,BA
rf,0.031226314860753144,0.01709568188059458,-4.971369472039131,2772,BA
baseline,0.022443053347215344,0.01543651868236663,-5.35534045027844,2772,BAC
