window,train_start,train_end,test_start,test_end,model,rmse,mae,qlike,n
1,2012-02-03,2015-01-29,2015-02-06,2015-08-06,baseline,0.017530200072009873,0.01140665423491946,-5.9575960329581505,23814
1,2012-02-03,2015-01-29,2015-02-06,2015-08-06,har,0.015681895433065182,0.010035899166061096,-6.013679422873974,23814
1,2012-02-03,2015-01-29,2015-02-06,2015-08-06,ridge,0.015483174313710596,0.00980911554157317,-6.016804733850038,23814
1,2012-02-03,2015-01-29,2015-02-06,2015-08-06,rf,0.015429434780400044,0.009791483702195148,-6.015459995163063,23814
2,2012-08-03,2015-07-30,2015-08-07,2016-02-05,baseline,0.02164710731226399,0.015420687705525819,-5.159906531521935,23814
2,2012-08-03,2015-07-30,2015-08-07,2016-02-05,har,0.021096670108690766,0.014145274008034218,-5.112356799407902,23814
2,2012-08-03,2015-07-30,2015-08-07,2016-02-05,ridge,0.020661756522442246,0.013894517319640651,-5.148540228951156,23814
2,2012-08-03,2015-07-30,2015-08-07,2016-02-05,rf,0.02033532849855089,0.013800658863527118,-5.1742573674900525,23814
3,2013-02-06,2016-01-29,2016-02-08,2016-08-05,baseline,0.024336081489020937,0.015071377410083677,-5.57155014852414,23814
3,2013-02-06,2016-01-29,2016-02-08,2016-08-05,har,0.020618597041228592,0.012410246525815275,-5.690339655878859,23814
3,2013-02-06,2016-01-29,2016-02-08,2016-08-05,ridge,0.020240908552959604,0.01210329443616771,-5.689985194263896,23814
3,2013-02-06,2016-01-29,2016-02-08,2016-08-05,rf,0.01991102146207975,0.011932341021132916,-5.698067358947475,23814
4,2013-08-07,2016-07-29,2016-08-08,2017-02-06,baseline,0.020616732301552983,0.013611950921158402,-5.681025865855188,23814
4,2013-08-07,2016-07-29,2016-08-08,2017-02-06,har,0.018183269524875565,0.011997817053445606,-5.892581876139334,23814
4,2013-08-07,2016-07-29,2016-08-08,2017-02-06,ridge,0.017884780830649247,0.011719914148438872,-5.914568433905645,23814
4,2013-08-07,2016-07-29,2016-08-08,2017-02-06,rf,0.01773302242367275,0.011565315938673389,-5.916360570023262,23814
5,2014-02-06,2017-01-30,2017-02-07,2017-08-07,baseline,0.018490177687196883,0.01102936789232377,-6.134352241987424,23814
5,2014-02-06,2017-01-30,2017-02-07,2017-08-07,har,0.01659899478722932,0.010650673876523888,-6.256610209011944,23814
5,2014-02-06,2017-01-30,2017-02-07,2017-08-07,ridge,0.016366956947768307,0.010393164509579146,-6.2789529517794165,23814
5,2014-02-06,2017-01-30,2017-02-07,2017-08-07,rf,0.016067003185931867,0.010136212114083604,-6.284972120106558,23814
6,2014-08-07,2017-07-31,2017-08-08,2018-02-06,baseline,0.01975317200251956,0.012665851690500246,-5.692687615436605,23814
6,2014-08-07,2017-07-31,2017-08-08,2018-02-06,har,0.017759255565375685,0.01157852846925554,-5.891845653111919,23814
6,2014-08-07,2017-07-31,2017-08-08,2018-02-06,ridge,0.017409584854939902,0.011288328645647218,-5.926894460972657,23814
6,2014-08-07,2017-07-31,2017-08-08,2018-02-06,rf,0.017295028408305057,0.01119393702472891,-5.919786825990361,23814
7,2015-02-06,2018-01-30,2018-02-07,2018-08-07,baseline,0.02041412056137217,0.014389755775610497,-5.624970374429212,23814
7,2015-02-06,2018-01-30,2018-02-07,2018-08-07,har,0.017896535199973272,0.011748807900665936,-5.653798997151197,23814
7,2015-02-06,2018-01-30,2018-02-07,2018-08-07,ridge,0.01761767140459292,0.01159726761837218,-5.689032124773928,23814
7,2015-02-06,2018-01-30,2018-02-07,2018-08-07,rf,0.017622106958599552,0.011748601214411226,-5.694845567302333,23814
8,2015-08-07,2018-07-31,2018-08-08,2019-02-07,baseline,0.02238017847382761,0.01590431196123027,-5.29740578591932,23814
8,2015-08-07,2018-07-31,2018-08-08,2019-02-07,har,0.02111076954475312,0.014129670183443752,-5.294585705225889,23814
8,2015-08-07,2018-07-31,2018-08-08,2019-02-07,ridge,0.020458362295039105,0.013735612371386444,-5.356092548458043,23814
8,2015-08-07,2018-07-31,2018-08-08,2019-02-07,rf,0.020246015398528893,0.01363458530342135,-5.372568038004085,23814
9,2016-02-08,2019-01-31,2019-02-08,2019-08-08,baseline,0.020227249041317237,0.012979019721713628,-5.622720821929093,23814
9,2016-02-08,2019-01-31,2019-02-08,2019-08-08,har,0.018085411464607053,0.011409627031202215,-5.700642688120705,23814
9,2016-02-08,2019-01-31,2019-02-08,2019-08-08,ridge,0.01767036842678961,0.01107296936176348,-5.744466962525961,23814
9,2016-02-08,2019-01-31,2019-02-08,2019-08-08,rf,0.017570078211460574,0.011031027451261841,-5.750992756902606,23814
10,2016-08-08,2019-08-01,2019-08-09,2020-02-07,baseline,0.019026718277524994,0.01261438192261424,-5.773208488638682,23814
10,2016-08-08,2019-08-01,2019-08-09,2020-02-07,har,0.016824598877359168,0.011064154986231534,-5.852459969432882,23814
10,2016-08-08,2019-08-01,2019-08-09,2020-02-07,ridge,0.0167065632140991,0.010925839239073268,-5.861756367243471,23814
10,2016-08-08,2019-08-01,2019-08-09,2020-02-07,rf,0.016501200686771515,0.010839016857191327,-5.87588029203767,23814
11,2017-02-07,2020-01-31,2020-02-10,2020-08-07,baseline,0.05297324957389753,0.03648189875646543,-3.785626711880344,23814
11,2017-02-07,2020-01-31,2020-02-10,2020-08-07,har,0.05036706991481557,0.029948583336820492,-3.4466841554249195,23814
11,2017-02-07,2020-01-31,2020-02-10,2020-08-07,ridge,0.04863352293802945,0.028850911025332535,-3.5801754676598843,23814
11,2017-02-07,2020-01-31,2020-02-10,2020-08-07,rf,0.05389415989650754,0.03192612147815026,-3.374188656946239,23814
12,2017-08-08,2020-07-31,2020-08-10,2021-02-08,baseline,0.026673514827911332,0.017835919922881475,-5.120256178898276,23814
12,2017-08-08,2020-07-31,2020-08-10,2021-02-08,har,0.02420546612127687,0.015810966261894356,-5.152073635609202,23814
12,2017-08-08,2020-07-31,2020-08-10,2021-02-08,ridge,0.023557930683183546,0.015458988739031518,-5.1838254346124195,23814
12,2017-08-08,2020-07-31,2020-08-10,2021-02-08,rf,0.023783045276261554,0.015438554848025521,-5.186670249273701,23814
13,2018-02-07,2021-02-01,2021-02-09,2021-08-09,baseline,0.01824178830765733,0.01280862904826054,-5.643911501378167,23814
13,2018-02-07,2021-02-01,2021-02-09,2021-08-09,har,0.01726860933124469,0.012259994874918068,-5.700492885289055,23814
13,2018-02-07,2021-02-01,2021-02-09,2021-08-09,ridge,0.01686616614169376,0.011868422478788363,-5.724680218429007,23814
13,2018-02-07,2021-02-01,2021-02-09,2021-08-09,rf,0.016676998830179587,0.011768548658650355,-5.736045500094964,23814
14,2018-08-08,2021-08-02,2021-08-10,2022-02-07,baseline,0.01968124899110295,0.013387024869135478,-5.477297499052772,23814
14,2018-08-08,2021-08-02,2021-08-10,2022-02-07,har,0.019195296421364874,0.013110715794475064,-5.537566227198548,23814
14,2018-08-08,2021-08-02,2021-08-10,2022-02-07,ridge,0.018671554246379174,0.012802186681814143,-5.57340541269964,23814
14,2018-08-08,2021-08-02,2021-08-10,2022-02-07,rf,0.018570937745799588,0.012527912987238782,-5.577456263247885,23814
15,2019-02-08,2022-01-31,2022-02-08,2022-08-09,baseline,0.02477456357737484,0.017639146654351893,-4.929563177081702,23814
15,2019-02-08,2022-01-31,2022-02-08,2022-08-09,har,0.023224184264422097,0.01603313810828712,-4.925463335174369,23814
15,2019-02-08,2022-01-31,2022-02-08,2022-08-09,ridge,0.022723926552257977,0.01580111855352935,-4.968304616662638,23814
15,2019-02-08,2022-01-31,2022-02-08,2022-08-09,rf,0.023114053988359928,0.015939197168358926,-4.968121227239227,23814
16,2019-08-09,2022-08-02,2022-08-10,2023-02-08,baseline,0.023224987945866565,0.01594786228625089,-5.168522277006223,23814
16,2019-08-09,2022-08-02,2022-08-10,2023-02-08,har,0.022343075690560647,0.015127185308578346,-5.154368146846992,23814
16,2019-08-09,2022-08-02,2022-08-10,2023-02-08,ridge,0.021773083515408995,0.014807920947095555,-5.17923485810023,23814
16,2019-08-09,2022-08-02,2022-08-10,2023-02-08,rf,0.021549797301547054,0.01450878352319845,-5.192407077639885,23814
17,2020-02-10,2023-02-01,2023-02-09,2023-08-10,baseline,0.021271101687156343,0.01420872287635852,-5.45708926486191,23814
17,2020-02-10,2023-02-01,2023-02-09,2023-08-10,har,0.019971820911987938,0.013730277415844556,-5.571768036414912,23814
17,2020-02-10,2023-02-01,2023-02-09,2023-08-10,ridge,0.019397639653187238,0.013207283174689586,-5.58667872972741,23814
17,2020-02-10,2023-02-01,2023-02-09,2023-08-10,rf,0.01915151556715679,0.012912622836745208,-5.5887342463411365,23814
18,2020-08-10,2023-08-03,2023-08-11,2024-02-09,baseline,0.020792360688940054,0.013886315894482856,-5.522082666979028,23814
18,2020-08-10,2023-08-03,2023-08-11,2024-02-09,har,0.018795235093240173,0.012855334374400553,-5.647541711574346,23814
