model,rmse,mae,qlike,n,year
baseline,0.019375624813078206,0.01323172029516205,-5.6355603098382,43092,2015
har,0.01752367423637532,0.011492917608192273,-5.676039493728105,43092,2015
ridge,0.017366216345109212,0.011318391370947239,-5.682674417649278,43092,2015
rf,0.01722881553297903,0.01133385388029001,-5.68623230267658,43092,2015
baseline,0.022684767321679938,0.0146322276285448,-5.543413398768255,47628,2016
har,0.02023776626611654,0.01278642993576571,-5.6542741612924665,47628,2016
ridge,0.019759442974264612,0.012424872075903407,-5.675359067041967,47628,2016
rf,0.019456757184138227,0.012217729528421413,-5.689433976980033,47628,2016
baseline,0.019009204415056487,0.011514385100527103,-6.012234377114241,47439,2017
har,0.01689382044494741,0.010783069748207984,-6.169289645600449,47439,2017
ridge,0.016647281798288734,0.01055302475229894,-6.193539810896647,47439,2017
rf,0.016413050966284978,0.01033178243336669,-6.194440883370879,47439,2017
baseline,0.020981347100315594,0.01465359429836624,-5.380591735153736,47439,2018
har,0.01967379312365034,0.01304424143567325,-5.416556592096661,47439,2018
ridge,0.019169284086746174,0.012758136919716731,-5.471266523144656,47439,2018
rf,0.01905845731734882,0.012773552031693069,-5.481385753627102,47439,2018
baseline,0.02044591915250668,0.013628171825937133,-5.715370177158742,47628,2019
har,0.01776320094557245,0.011472150836190397,-5.768700380232368,47628,2019
ridge,0.017459402048323035,0.011222687387683719,-5.7940154216570425,47628,2019
rf,0.017328790237342163,0.011187974598024177,-5.8059052456837,47628,2019
baseline,0.04176959802515466,0.026765549378542777,-4.486228423110479,47817,2020
har,0.039308732935516684,0.022420139804489987,-4.356704057039722,47817,2020
ridge,0.03802801990327207,0.021718279148707755,-4.435652227017673,47817,2020
rf,0.041473718727174834,0.02327562988899909,-4.332488348271634,47817,2020
baseline,0.018653583084022145,0.013197366366996748,-5.561563661132205,47628,2021
har,0.01790503100338383,0.012784919875804482,-5.619962897028266,47628,2021
ridge,0.01748171747889495,0.012402670308547,-5.647285369163473,47628,2021
rf,0.01732124938209779,0.01220655901958843,-5.65648749721382,47628,2021
baseline,0.02432574087419042,0.016823362545771447,-5.018462330789749,47439,2022
har,0.023061040097710626,0.015581115750944664,-5.015487155596469,47439,2022
ridge,0.02246841814703472,0.015302050422961838,-5.056248082440709,47439,2022
rf,0.022596140195176608,0.015259355063886147,-5.059247692613697,47439,2022
baseline,0.02088368950510909,0.014095817306513526,-5.4841111418588335,47250,2023
har,0.01950437811873562,0.01347307518174153,-5.586639491887866,47250,2023
ridge,0.01900130480735875,0.013005899236832907,-5.601122481370074,47250,2023
rf,0.018760252349388513,0.012703864434026668,-5.605206653248908,47250,2023
baseline,0.02502049430252599,0.015532207438051714,-5.390734954126795,47628,2024
har,0.022299617770165436,0.013960392300363608,-5.499287294491105,47628,2024
ridge,0.02191302543113417,0.013621723463429812,-5.519994295604623,47628,2024
rf,0.02151308594222822,0.013214292579168667,-5.520872471731753,47628,2024
baseline,0.029012496985100198,0.0184790061053418,-5.117951172923559,47250,2025
har,0.025774756554419877,0.015760245504990545,-5.173090727815003,47250,2025
ridge,0.0251667157744722,0.015448450530047281,-5.216392821026155,47250,2025
rf,0.025170397955099663,0.015341406159006714,-5.210633285566358,47250,2025
baseline,0.027394172507209456,0.017444932932378893,-4.713673373217938,5670,2026
har,0.02718046363270932,0.01661252021474513,-4.7540190515500464,5670,2026
ridge,0.0265120141836113,0.01649863208085661,-4.835446175436338,5670,2026
rf,0.026405899796198885,0.016350111933497554,-4.833154421208234,5670,2026
